ENTREZID	GENETITLE	SYMBOL	CHR_Mapping	BP_Mapping	process_jetset_score	specificity_jetset_score	coverage_jetset_score	robust_jetset_score	overall_jetset_score	top_probe_indicator
54973	cleavage and polyadenylation specific factor 3-like	CPSF3L	1	1318135.5	530.5	1	0.909090909	0.412753675	0.375230614	1
80772	ceramide-1-phosphate transfer protein	CPTP	1	1326829	211	0.909090909	1	0.70330822	0.639371109	1
1855	dishevelled segment polarity protein 1	DVL1	1	1342194.5	212.5	0.636363636	0.285714286	0.701550682	0.127554669	1
54587	matrix remodeling associated 8	MXRA8	1	1356676.375	235	0.636363636	1	0.675708561	0.429996357	1
54998	aurora kinase A interacting protein 1	AURKAIP1	1	1374501.333	247.5	0.909090909	1	0.661765423	0.60160493	1
81669	cyclin L2	CCNL2	1	1394168.25	453	1	0.740740741	0.469714664	0.347936788	1
148413	uncharacterized LOC148413	LOC148413	1	1400787.5	350	1	1	0.557763643	0.557763643	1
55052	mitochondrial ribosomal protein L20	MRPL20	1	1404607.25	230.5	1	1	0.680799687	0.680799687	1
441869	ankyrin repeat domain 65	ANKRD65	1	1419931.5	471	0.545454545	0.888888889	0.455821089	0.221004165	1
102724312	uncharacterized LOC102724312	LOC102724312	1	1432364.5	169	1	1	0.754347871	0.754347871	1
64856	von Willebrand factor A domain containing 1	VWA1	1	1439202	235	0.909090909	1	0.675708561	0.61428051	1
219293	ATPase family, AAA domain containing 3C	ATAD3C	1	1459923	1282	0.818181818	1	0.117837443	0.096412454	1
83858	ATPase family, AAA domain containing 3B	ATAD3B	1	1485569	252	0.090909091	0.818181818	0.656816638	0.04885413	1
55210	ATPase family, AAA domain containing 3A	ATAD3A	1	1523511.25	281	0.272727273	0.8	0.625800252	0.136538237	1
29101	SSU72 homolog, RNA polymerase II CTD phosphatase	SSU72	1	1558277	199	0.818181818	1	0.71752796	0.587068331	1
643988	fibronectin type III domain containing 10	FNDC10	1	1599051.5	446	1	1	0.475231385	0.475231385	1
142678	mindbomb E3 ubiquitin protein ligase 2	MIB2	1	1623124.5	348	1	1	0.559627513	0.559627513	1
984	cyclin dependent kinase 11B	CDK11B	1	1647161	840	0.090909091	0.857142857	0.246309116	0.019192918	1
9906	solute carrier family 35 member E2	SLC35E2	1	1736054.75	4987	1	0.5	0.000243937	0.000121968	1
65220	NAD kinase	NADK	1	1762620.375	292	0.909090909	0.888888889	0.614422379	0.496502933	1
2782	G protein subunit beta 1	GNB1	1	1838200.5	661	1	1	0.332011476	0.332011476	1
163688	calmodulin like 6	CALML6	1	1916060	452	0.909090909	0.75	0.470498829	0.320794656	1
339456	transmembrane protein 52	TMEM52	1	1918445	413.5	0.909090909	1	0.501705687	0.45609608	1
85452	cilia and flagella associated protein 74	CFAP74	1	1962893.5	327	0.909090909	0.8	0.579578205	0.421511422	1
2563	gamma-aminobutyric acid type A receptor delta subunit	GABRD	1	2025040.5	232	0.909090909	1	0.679098397	0.617362179	1
5590	protein kinase C zeta	PRKCZ	1	2130549.375	320	0.909090909	0.466666667	0.586385256	0.248769502	1
199990	Fanconi anemia core complex associated protein 20	FAAP20	1	2194468.6	567.5	0.909090909	0.619047619	0.388049487	0.218382828	1
6497	SKI proto-oncogene	SKI	1	2269453.5	294	1	1	0.612376011	0.612376011	1
79906	MORN repeat containing 1	MORN1	1	2371088.667	471	0.909090909	0.461538462	0.455821089	0.191253604	1
11079	retention in endoplasmic reticulum sorting receptor 1	RER1	1	2398610	290	1	1	0.616475585	0.616475585	1
5192	peroxisomal biogenesis factor 10	PEX10	1	2408686	331.5	1	0.8	0.57524403	0.460195224	1
9651	phospholipase C eta 2	PLCH2	1	2488708	274.5	1	1	0.632622327	0.632622327	1
55229	pantothenate kinase 4	PANK4	1	2517579	291	0.909090909	0.75	0.615448126	0.419623722	1
388585	hes family bHLH transcription factor 5	HES5	1	2529494.5	291.5	1	1	0.614935039	0.614935039	1
115110	uncharacterized LOC115110	LOC115110	1	2553465	468	1	0.5	0.458107813	0.229053906	1
8764	TNF receptor superfamily member 14	TNFRSF14	1	2560993	520	0.909090909	0.916666667	0.42004657	0.350038809	1
100996583	uncharacterized LOC100996583	LOC100996583	1	2575534	298	0.909090909	1	0.608303699	0.553003363	1
127281	family with sequence similarity 213 member B	FAM213B	1	2589036.5	243	1	1	0.666751494	0.666751494	1
79258	membrane metalloendopeptidase like 1	MMEL1	1	2611841.5	284	1	0.888888889	0.622676463	0.553490189	1
140625	actin related protein T2	ACTRT2	1	3022192	346	0.818181818	1	0.561497612	0.459407137	1
440556	long intergenic non-protein coding RNA 982	LINC00982	1	3064784.25	225	0.909090909	0.25	0.687074296	0.156153249	1
63976	PR/SET domain 16	PRDM16	1	3253899	298	0.909090909	0.25	0.608303699	0.138250841	1
27237	Rho guanine nucleotide exchange factor 16	ARHGEF16	1	3467847.5	453	0.909090909	1	0.469714664	0.427013331	1
1953	multiple EGF like domains 6	MEGF6	1	3549718	368	1	0.857142857	0.541265689	0.463942019	1
127262	tumor protein p63 regulated 1 like	TPRG1L	1	3627560.5	321	0.909090909	1	0.585407947	0.532189043	1
49856	WD repeat containing, antisense to TP73	WRAP73	1	3640436.5	259	1	1	0.649191985	0.649191985	1
7161	tumor protein p73	TP73	1	3708313.833	2636	1	1	0.012314245	0.012314245	1
57212	TP73 antisense RNA 1	TP73-AS1	1	3741527.5	459	0.909090909	0.833333333	0.465037045	0.352300792	1
148870	coiled-coil domain containing 27	CCDC27	1	3762022.5	598	0.909090909	1	0.368800974	0.335273613	1
388588	small integral membrane protein 1 (Vel blood group)	SMIM1	1	3774377.5	260	1	1	0.648109999	0.648109999	1
57470	leucine rich repeat containing 47	LRRC47	1	3788361.5	248	1	1	0.661213721	0.661213721	1
9731	centrosomal protein 104	CEP104	1	3834656.5	398.5	0.818181818	0.181818182	0.514417156	0.076524866	1
1677	DNA fragmentation factor subunit beta	DFFB	1	3871347.5	281	0.818181818	0.789473684	0.625800252	0.404225043	1
339448	chromosome 1 open reading frame 174	C1orf174	1	3894712.5	230	1	1	0.68136773	0.68136773	1
100133612	long intergenic non-protein coding RNA 1134	LINC01134	1	3907925	273	0.818181818	1	0.634207185	0.518896787	1
284661	uncharacterized LOC284661	LOC284661	1	4418367	208	0.909090909	1	0.706836515	0.64257865	1
55966	adherens junctions associated protein 1	AJAP1	1	4717918.25	389	1	0.5	0.52263382	0.26131691	1
261734	nephrocystin 4	NPHP4	1	5927640	317	1	0.863636364	0.589326982	0.508964212	1
8514	potassium voltage-gated channel subfamily A regulatory beta subunit 2	KCNAB2	1	6065059.4	333	1	0.846153846	0.573806519	0.485528593	1
26038	chromodomain helicase DNA binding protein 5	CHD5	1	6140960	362	1	1	0.546710061	0.546710061	1
6146	ribosomal protein L22	RPL22	1	6192319	432	0.818181818	1	0.486459967	0.398012701	1
388591	ring finger protein 207	RNF207	1	6213713.5	368	1	0.846153846	0.541265689	0.457994045	1
23463	isoprenylcysteine carboxyl methyltransferase	ICMT	1	6228588	419	0.818181818	0.666666667	0.497123931	0.271158508	1
148645	long intergenic non-protein coding RNA 337	LINC00337	1	6237840.5	311	1	0.5	0.595254783	0.297627392	1
387509	G protein-coupled receptor 153	GPR153	1	6254160	388	0.818181818	0.75	0.523506331	0.321242521	1
11332	acyl-CoA thioesterase 7	ACOT7	1	6319540.125	283	0.545454545	0.666666667	0.623715989	0.226805814	1
54626	hes family bHLH transcription factor 2	HES2	1	6417576	304	1	1	0.602245952	0.602245952	1
83715	espin	ESPN	1	6442865.5	248.5	0.636363636	0.333333333	0.66066248	0.140140526	1
8718	TNF receptor superfamily member 25	TNFRSF25	1	6464413.25	337	0.818181818	0.555555556	0.569990695	0.25908668	1
57449	pleckstrin homology and RhoGEF domain containing G5	PLEKHG5	1	6480475.438	216	0.909090909	1	0.697466822	0.634060747	1
79707	nucleolar protein 9	NOL9	1	6537972	219	0.909090909	0.833333333	0.693985297	0.525746437	1
80835	taste 1 receptor member 1	TAS1R1	1	6567517	673	0.727272727	0.625	0.325431779	0.147923536	1
3104	zinc finger and BTB domain containing 48	ZBTB48	1	6584635	389	1	0.75	0.52263382	0.391975365	1
9903	kelch like family member 21	KLHL21	1	6596810.5	209.5	0.818181818	1	0.705070161	0.576875586	1
148479	PHD finger protein 13	PHF13	1	6618864	385	0.909090909	1	0.526132612	0.478302375	1
90326	THAP domain containing 3	THAP3	1	6629652	528	0.272727273	0.714285714	0.414478511	0.080742567	1
55735	DnaJ heat shock protein family (Hsp40) member C11	DNAJC11	1	6668036.5	382.5	1	1	0.528331241	0.528331241	1
23261	calmodulin binding transcription activator 1	CAMTA1	1	6980987.167	355	1	0.206896552	0.55313108	0.114440913	1
9341	vesicle associated membrane protein 3	VAMP3	1	7776350	273	1	0.5	0.634207185	0.317103592	1
8863	period circadian clock 3	PER3	1	7814804	428	1	0.541666667	0.489716592	0.265263154	1
10911	urotensin 2	UTS2	1	7850439.25	402	0.909090909	0.875	0.511422636	0.40681346	1
3604	TNF receptor superfamily member 9	TNFRSF9	1	7929517.5	215	1	0.666666667	0.698631207	0.465754138	1
11315	Parkinsonism associated deglycase	PARK7	1	7973467.5	269	1	1	0.638452908	0.638452908	1
54206	ERBB receptor feedback inhibitor 1	ERRFI1	1	8019025.5	394	0.818181818	1	0.518293032	0.424057935	1
50651	solute carrier family 45 member 1	SLC45A1	1	8331125.5	233	0.818181818	1	0.677966566	0.554699918	1
473	arginine-glutamic acid dipeptide repeats	RERE	1	8486533.25	342	0.909090909	0.888888889	0.565256579	0.456772993	1
2023	enolase 1	ENO1	1	8868166.5	432	0.363636364	1	0.486459967	0.176894534	1
100505975	ENO1 antisense RNA 1	ENO1-AS1	1	8879359	241.5	0.909090909	1	0.668421852	0.607656229	1
765	carbonic anhydrase 6	CA6	1	8960299.75	264	0.818181818	0.5	0.643800055	0.26337275	1
6518	solute carrier family 2 member 5	SLC2A5	1	9054523.333	398	0.909090909	0.823529412	0.514846374	0.385446483	1
106614088	MIR34A host gene	MIR34AHG	1	9165174	717	1	1	0.302402327	0.302402327	1
9563	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	H6PD	1	9254329	501	0.727272727	1	0.433572346	0.315325343	1
80176	splA/ryanodine receptor domain and SOCS box containing 1	SPSB1	1	9331206	287	0.909090909	1	0.619568266	0.563243879	1
100506022	uncharacterized LOC100506022	LOC100506022	1	9427024.5	330	0.818181818	1	0.576685142	0.471833298	1
84275	solute carrier family 25 member 33	SLC25A33	1	9561120.5	374	0.818181818	1	0.535875535	0.43844362	1
199953	transmembrane protein 201	TMEM201	1	9599396.25	343	0.818181818	0.666666667	0.564314485	0.307807901	1
644997	PIK3CD antisense RNA 1	PIK3CD-AS1	1	9653597.5	435	0.909090909	0.5	0.484031719	0.220014418	1
101929074	PIK3CD antisense RNA 2	PIK3CD-AS2	1	9682104.25	333	0.545454545	0.333333333	0.573806519	0.104328458	1
5293	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	PIK3CD	1	9690422.5	294	1	1	0.612376011	0.612376011	1
22883	calsyntenin 1	CLSTN1	1	9776773	417	0.909090909	1	0.498785163	0.453441057	1
56998	catenin beta interacting protein 1	CTNNBIP1	1	9879266.5	355	0.818181818	1	0.55313108	0.452561793	1
84328	leucine zipper and CTNNBIP1 domain containing	LZIC	1	9933815.75	470	0.909090909	0.777777778	0.456582059	0.3228358	1
64802	nicotinamide nucleotide adenylyltransferase 1	NMNAT1	1	9963756.333	287	0.636363636	0.5	0.619568266	0.197135358	1
116362	retinol binding protein 7	RBP7	1	10006608	241.5	1	1	0.668421852	0.668421852	1
10277	ubiquitination factor E4B	UBE4B	1	10107110	352.5	0.909090909	0.7	0.555442532	0.353463429	1
23095	kinesin family member 1B	KIF1B	1	10277902.5	361	1	0.5	0.547622765	0.273811383	1
5226	phosphogluconate dehydrogenase	PGD	1	10409782.5	1174	0.818181818	1	0.14109822	0.115443998	1
378708	centromere protein S	CENPS	1	10436619.25	391	0.363636364	1	0.52089316	0.189415694	1
1325	cortistatin	CORT	1	10450860.5	591	0.090909091	1	0.373132481	0.033921135	1
1676	DNA fragmentation factor subunit alpha	DFFA	1	10466550.5	859	0.818181818	1	0.238625226	0.195238821	1
5195	peroxisomal biogenesis factor 14	PEX14	1	10552853	130	1	1	0.805052792	0.805052792	1
54897	castor zinc finger 1	CASZ1	1	10719290.5	369	0.909090909	0.5	0.54036358	0.245619809	1
148345	chromosome 1 open reading frame 127	C1orf127	1	10964254.5	472.5	0.909090909	0.666666667	0.454682012	0.275564855	1
23435	TAR DNA binding protein	TARDBP	1	11019056.5	385	1	0.571428571	0.526132612	0.300647207	1
10747	mannan binding lectin serine peptidase 2	MASP2	1	11041449.25	695	0.818181818	1	0.313705797	0.256668379	1
6723	spermidine synthase	SRM	1	11057312.5	558.5	0.727272727	0.5	0.393919033	0.143243285	1
5394	exosome component 10	EXOSC10	1	11083261	310	0.818181818	1	0.596248531	0.487839707	1
2475	mechanistic target of rapamycin	MTOR	1	11184540.5	325	0.454545455	0.714285714	0.581514973	0.188803563	1
10218	angiopoietin like 7	ANGPTL7	1	11192634.5	372	0.818181818	0.666666667	0.537666262	0.293272507	1
29914	UbiA prenyltransferase domain containing 1	UBIAD1	1	11283599.75	140	1	0.5	0.791735432	0.395867716	1
57540	dispatched RND transporter family member 3	DISP3	1	11508410	406	0.818181818	0.3	0.508021666	0.124696227	1
101929181	uncharacterized LOC101929181	LOC101929181	1	11611442	447	0.727272727	1	0.474439333	0.345046788	1
26232	F-box protein 2	FBXO2	1	11651595.5	413	0.818181818	1	0.502124299	0.410828972	1
93611	F-box protein 44	FBXO44	1	11658971	1296	1	0.764705882	0.115117492	0.088031023	1
26270	F-box protein 6	FBXO6	1	11669222	399	1	1	0.513988297	0.513988297	1
10459	MAD2 mitotic arrest deficient-like 2 (yeast)	MAD2L2	1	11680448.25	593	0.909090909	1	0.371889742	0.338081584	1
374946	dorsal inhibitory axon guidance protein	DRAXIN	1	11706001	1562	0.909090909	0.75	0.073865811	0.050363053	1
57085	angiotensin II receptor associated protein	AGTRAP	1	11743427.5	303	1	1	0.603251371	0.603251371	1
4524	methylenetetrahydrofolate reductase	MTHFR	1	11795309.5	452	1	0.222222222	0.470498829	0.104555295	1
1185	chloride voltage-gated channel 6	CLCN6	1	11824619.5	363	1	0.5	0.545798877	0.272899439	1
4878	natriuretic peptide A	NPPA	1	11846746	354	1	1	0.554054504	0.554054504	1
4879	natriuretic peptide B	NPPB	1	11858199	342	1	1	0.565256579	0.565256579	1
90231	KIAA2013	KIAA2013	1	11923007.5	194	0.818181818	0.5	0.723537374	0.295992562	1
5351	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	PLOD1	1	11955104	421	0.636363636	1	0.495468232	0.315297966	1
9927	mitofusin 2	MFN2	1	11996847.5	454.5	1	1	0.468540867	0.468540867	1
60672	migration and invasion inhibitory protein	MIIP	1	12025645	108	1	0.6	0.835144791	0.501086875	1
943	TNF receptor superfamily member 8	TNFRSF8	1	12103791.5	405	0.818181818	0.8	0.508869782	0.333078403	1
7133	TNF receptor superfamily member 1B	TNFRSF1B	1	12188111	425	0.909090909	0.625	0.49217336	0.279643954	1
55187	vacuolar protein sorting 13 homolog D	VPS13D	1	12371042	315	1	1	0.591296328	0.591296328	1
9249	dehydrogenase/reductase 3	DHRS3	1	12589106.33	450	0.818181818	1	0.472071088	0.386239981	1
93190	chromosome 1 open reading frame 158	C1orf158	1	12753677	378	1	0.666666667	0.532311953	0.354874635	1
390999	PRAME family member 12	PRAMEF12	1	12776376	249	0.545454545	1	0.660111699	0.360060926	1
10630	podoplanin	PDPN	1	13601285.25	342.5	0.909090909	1	0.564785336	0.513441214	1
7799	PR/SET domain 2	PRDM2	1	13760705.38	375	0.909090909	0.705882353	0.534982409	0.34330422	1
23254	kazrin, periplakin interacting protein	KAZN	1	14938794.5	214	0.818181818	0.411764706	0.699797536	0.235760667	1
200197	TMEM51 antisense RNA 1	TMEM51-AS1	1	15132139	238	1	0.5	0.672335646	0.336167823	1
55092	transmembrane protein 51	TMEM51	1	15186901.5	456	0.818181818	1	0.467370003	0.382393639	1
114827	forkhead associated phosphopeptide binding domain 1	FHAD1	1	15322698.5	84	0.636363636	0.529411765	0.869256703	0.292851189	1
79180	EF-hand domain family member D2	EFHD2	1	15420118.5	407.5	0.909090909	1	0.506752141	0.460683765	1
11330	chymotrypsin C	CTRC	1	15442549.5	580	0.818181818	1	0.380042147	0.310943575	1
63036	chymotrypsin like elastase family member 2A	CELA2A	1	15464409	283	0.636363636	1	0.623715989	0.396910175	1
51032	chymotrypsin like elastase family member 2B	CELA2B	1	15483750	292	0.818181818	1	0.614422379	0.502709219	1
842	caspase 9	CASP9	1	15508008.75	1099	0.727272727	0.857142857	0.159901904	0.099679109	1
23341	DnaJ heat shock protein family (Hsp40) member C16	DNAJC16	1	15549272.5	389	0.818181818	0.6	0.52263382	0.256565694	1
79814	agmatinase	AGMAT	1	15578404	178	0.727272727	1	0.743107795	0.540442033	1
6248	regulatory solute carrier protein, family 1, member 1	RSC1A1	1	15660871	342	0.818181818	1	0.565256579	0.462482656	1
23207	pleckstrin homology and RUN domain containing M2	PLEKHM2	1	15709550	375	1	1	0.534982409	0.534982409	1
284723	solute carrier family 25 member 34	SLC25A34	1	15738852.5	287	1	0.6	0.619568266	0.37174096	1
54751	filamin binding LIM protein 1	FBLIM1	1	15772769.67	432	1	1	0.486459967	0.486459967	1
729614	uncharacterized LOC729614	FLJ37453	1	15841180.5	195	0.909090909	1	0.722331478	0.65666498	1
23013	spen family transcriptional repressor	SPEN	1	15894159	236	1	1	0.67458238	0.67458238	1
7709	zinc finger and BTB domain containing 17	ZBTB17	1	15959000	280	1	1	0.626844994	0.626844994	1
149563	chromosome 1 open reading frame 64	C1orf64	1	16005465	301	1	1	0.605267247	0.605267247	1
27129	heat shock protein family B (small) member 7	HSPB7	1	16016408.5	429	0.727272727	0.333333333	0.488900398	0.118521309	1
1188	chloride voltage-gated channel Kb	CLCNKB	1	16051787	651	0.363636364	1	0.337596065	0.122762205	1
348487	family with sequence similarity 131 member C	FAM131C	1	16065700	258	0.454545455	1	0.650275778	0.295579899	1
1969	EPH receptor A2	EPHA2	1	16140222.5	218.5	0.909090909	0.666666667	0.694564342	0.420948086	1
128272	Rho guanine nucleotide exchange factor 19	ARHGEF19	1	16205262	637	0.909090909	0.666666667	0.345572653	0.209437972	1
79363	REM2 and RAB like small GTPase 1	RSG1	1	16234425	308	1	0.5	0.598241005	0.299120503	1
54455	F-box protein 42	FBXO42	1	16299665	289	1	1	0.61750476	0.61750476	1
26099	SUZ RNA binding domain containing 1	SZRD1	1	16382588.5	436	0.818181818	1	0.483225	0.395365909	1
374955	spermatogenesis associated 21	SPATA21	1	16418033	2028.5	0.636363636	0.625	0.033923278	0.013492213	1
55707	NECAP endocytosis associated 2	NECAP2	1	16450380	355.5	0.909090909	1	0.552669945	0.502427223	1
114819	ciliary rootlet coiled-coil, rootletin pseudogene 3	CROCCP3	1	16480068	1828	0.818181818	1	0.04739643	0.038778897	1
100133301	family with sequence similarity 231 member B	FAM231B	1	16539379	3906	0.090909091	0	0.001480418	0	1
11223	macrophage stimulating 1 like	MST1L	1	16759556.5	135	0.818181818	0.5	0.798366344	0.326604414	1
105376805	uncharacterized LOC105376805	LOC105376805	1	16889054.5	156	0.272727273	1	0.770884357	0.210241188	1
9696	ciliary rootlet coiled-coil, rootletin	CROCC	1	16947464	328	0.909090909	1	0.578612242	0.526011129	1
4237	microfibrillar associated protein 2	MFAP2	1	16977817.5	528	0.909090909	1	0.414478511	0.376798646	1
23400	ATPase 13A2	ATP13A2	1	16998964.5	273	0.818181818	1	0.634207185	0.518896787	1
6390	succinate dehydrogenase complex iron sulfur subunit B	SDHB	1	17036447.5	497	1	1	0.436474913	0.436474913	1
11240	peptidyl arginine deiminase 2	PADI2	1	17093106.5	340	1	1	0.567145489	0.567145489	1
29943	peptidyl arginine deiminase 1	PADI1	1	17225565.5	326	1	0.5	0.580545782	0.290272891	1
51702	peptidyl arginine deiminase 3	PADI3	1	17266664.5	350	0.727272727	0.75	0.557763643	0.304234714	1
23569	peptidyl arginine deiminase 4	PADI4	1	17336097	500	0.818181818	0.555555556	0.434296173	0.197407352	1
55920	regulator of chromosome condensation 2	RCC2	1	17422956.25	379	0.909090909	1	0.531424766	0.483113424	1
55160	Rho guanine nucleotide exchange factor 10 like	ARHGEF10L	1	17638620.7	296	0.818181818	0.6875	0.610336459	0.343314258	1
81569	actin like 8	ACTL8	1	17791187.5	322	0.818181818	1	0.584432267	0.478171855	1
101927876	uncharacterized LOC101927876	LOC101927876	1	18070033.5	413	1	1	0.502124299	0.502124299	1
84966	immunoglobin superfamily member 21	IGSF21	1	18243114	464	1	1	0.461174633	0.461174633	1
127707	kelch domain containing 7A	KLHDC7A	1	18483457.5	451	1	1	0.471284303	0.471284303	1
5081	paired box 7	PAX7	1	18686753.5	294	0.818181818	0.666666667	0.612376011	0.334023279	1
80834	taste 1 receptor member 2	TAS1R2	1	18849629.5	307	1	1	0.599239738	0.599239738	1
8659	aldehyde dehydrogenase 4 family member A1	ALDH4A1	1	18884137	409.5	0.727272727	1	0.505064375	0.367319545	1
126917	intermediate filament family orphan 2	IFFO2	1	18930305.5	283	0.818181818	1	0.623715989	0.510313082	1
23352	ubiquitin protein ligase E3 component n-recognin 4	UBR4	1	19142378.5	175	1	1	0.746835754	0.746835754	1
23065	ER membrane protein complex subunit 1	EMC1	1	19233611	408	0.909090909	0.666666667	0.506329672	0.306866468	1
51154	MRT4 homolog, ribosome maturation factor	MRTO4	1	19255854	334	1	1	0.572850175	0.572850175	1
100506730	uncharacterized LOC100506730	LOC100506730	1	19294491	529	0.909090909	1	0.413787713	0.376170649	1
8574	aldo-keto reductase family 7 member A2	AKR7A2	1	19307426.5	1303	0.909090909	1	0.113781151	0.10343741	1
54896	PQ loop repeat containing 2	PQLC2	1	19321554.5	566	0.909090909	0.545454545	0.389021635	0.19290329	1
832	capping actin protein of muscle Z-line beta subunit	CAPZB	1	19417951.17	186	0.9375	0.333333333	0.733257296	0.229142905	1
440574	mitochondrial inner membrane organizing system 1	MINOS1	1	19613398.5	280	0.909090909	1	0.626844994	0.569859085	1
3362	5-hydroxytryptamine receptor 6	HTR6	1	19673126	402	1	1	0.511422636	0.511422636	1
255104	transmembrane and coiled-coil domains 4	TMCO4	1	19741064.5	411	0.909090909	0.857142857	0.50380224	0.392573174	1
54546	ring finger protein 186	RNF186	1	19814653	259	1	1	0.649191985	0.649191985	1
23252	OTU deubiquitinase 3	OTUD3	1	19897669	352	1	1	0.55590598	0.55590598	1
30814	phospholipase A2 group IIE	PLA2G2E	1	19921961.5	229	1	1	0.682505239	0.682505239	1
5320	phospholipase A2 group IIA	PLA2G2A	1	19977739.5	452	1	1	0.470498829	0.470498829	1
5322	phospholipase A2 group V	PLA2G5	1	20081054	188	0.818181818	1	0.730815142	0.597939662	1
26279	phospholipase A2 group IID	PLA2G2D	1	20116107.5	422	0.909090909	1	0.494642452	0.449674956	1
64600	phospholipase A2 group IIF	PLA2G2F	1	20144857.5	646	1	0.666666667	0.340423487	0.226948991	1
101928017	UBXN10 antisense RNA 1	UBXN10-AS1	1	20185364	283	0.909090909	1	0.623715989	0.567014536	1
127733	UBX domain protein 10	UBXN10	1	20191062.5	1573	0.909090909	1	0.072522834	0.065929849	1
127731	von Willebrand factor A domain containing 5B1	VWA5B1	1	20322906	6295	0.909090909	0.75	2.75e-05	1.88e-05	1
339505	long intergenic non-protein coding RNA 1141	LINC01141	1	20394297	281.5	0.909090909	1	0.625278534	0.568435031	1
55450	calcium/calmodulin dependent protein kinase II inhibitor 1	CAMK2N1	1	20484312.5	291.5	0.909090909	1	0.614935039	0.559031853	1
79594	mitochondrial E3 ubiquitin protein ligase 1	MUL1	1	20503814	351	0.909090909	1	0.556834037	0.506212761	1
163933	family with sequence similarity 43 member B	FAM43B	1	20553729	322	0.909090909	1	0.584432267	0.531302061	1
978	cytidine deaminase	CDA	1	20603928.5	467	0.727272727	1	0.458872601	0.333725528	1
65018	PTEN induced putative kinase 1	PINK1	1	20642482.5	500.5	0.909090909	1	0.433934109	0.394485554	1
1650	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit	DDOST	1	20656655	877	1	1	0.231566989	0.231566989	1
57576	kinesin family member 17	KIF17	1	20691015	269	0.909090909	0.647058824	0.638452908	0.375560534	1
400745	SH2 domain containing 5	SH2D5	1	20726185.5	267	0.909090909	1	0.640586417	0.582351288	1
50809	heterochromatin protein 1 binding protein 3	HP1BP3	1	20764682.5	169	0.909090909	1	0.754347871	0.685770792	1
8672	eukaryotic translation initiation factor 4 gamma 3	EIF4G3	1	21001689.33	315	0.727272727	0.923076923	0.591296328	0.396954178	1
